Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2,Cluster,Cluster_som,Cluster_kmeans,Cluster_dbscan,Cluster_agglomerative,Cluster_gmm,Cluster_hierarchical,Cluster_spectral
PPL,-3.992900390578006e-05,0.0118558648788604,-0.0790480728646292,25.76999258786485,0.694221516105276,25.787444165037897,48.63736739398184,27.1584356200754,24.381549555654296,5617157.013574661,-2.319108429029474,-0.3184442326106309,0,1.0,0,0,0,0,7,0
PRU,0.0003384760037944,0.0157341709588691,-0.0540162512348134,86.80198990489562,3.134610805619256,86.88607243764241,55.6171316591748,93.07121151613414,80.53276829365711,1955967.8733031675,-0.7471916516106718,0.5740449577713767,2,10.0,0,0,0,2,7,0
PSA,0.0003346707201648,0.0144685590546118,0.0468337533115527,272.21047610229675,7.350127746436197,272.2965888226446,50.69260325663731,286.9107315951691,257.5102206094244,942329.411764706,1.5796171902105336,-0.8586960465009676,2,15.0,1,0,0,2,3,1
PSX,0.0012634262622058,0.0172554316037366,0.0974164562779128,103.02585048186472,3.99977174823254,103.16969804822982,55.78004451002127,111.02539397832982,95.02630698539966,3311187.330316742,-0.1021687895331395,1.557257942527931,0,7.0,0,0,0,5,6,0
PTC,0.0012893695662648,0.0122585751018416,0.1716310420160306,137.8127569264776,3.8004416979872313,137.89950260429828,56.10088709084182,145.41364032245207,130.2118735305031,752591.8552036199,0.5040252177263924,1.7279818246603196,2,19.0,0,0,0,2,6,0
PWR,0.0016804527585035,0.0176141769485922,0.2996858890358981,178.62527460526914,6.204737219931869,178.84701777905758,57.57768179687076,191.0347490451329,166.21580016540543,950907.2398190044,1.4931541521135552,2.243596101091393,2,2.0,0,0,0,2,3,0
PYPL,-0.0008967701361991,0.0229304258853507,-0.1262873220657732,66.4684418288471,3.066757872479128,66.45457154756869,48.73753572966721,72.60195757380536,60.33492608388885,15424533.484162897,-2.3105177262519847,-1.2445271356884684,1,5.0,0,0,0,4,4,0
QCOM,0.0007498660915353,0.0188001276952323,0.1258178342970868,115.6621832731083,5.007825817911916,115.63928212196446,51.53448280791844,125.67783490893213,105.64653163728448,8053780.995475113,-0.4096415696507678,0.643102391792346,3,9.0,0,0,0,4,5,0
QRVO,0.0004559284162647,0.0177680470042897,0.1051581948592643,98.3833090838264,3.6216186767828895,98.36268124479724,49.56589070925653,105.62654643739218,91.14007173026062,1226420.814479638,-0.7020454941476103,0.079971448445519,2,12.0,0,0,0,2,6,0
REG,0.0003044768298964,0.0141964432418831,-0.0015575663193956,59.31205148653747,1.7075294063398074,59.33926625558317,52.12194344773727,62.72711029921708,55.89699267385785,960077.8280542986,-1.296497797520814,0.3481995917772529,2,11.0,0,0,0,0,7,0
